sample_id,cluster_label
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,1
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,1
430,1
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,1
529,1
530,0
531,0
532,0
533,1
534,1
535,1
536,0
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,0
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,1
571,0
572,1
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,1
612,0
613,0
614,1
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,1
632,1
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,1
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,0
751,1
752,0
753,1
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,0
821,0
822,0
823,1
824,1
825,0
826,0
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,0
842,1
843,0
844,1
845,0
846,1
847,0
848,0
849,0
850,1
851,1
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,1
862,1
863,1
864,0
865,1
866,0
867,1
868,1
869,0
870,1
871,1
872,0
873,0
874,1
875,0
876,1
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,1
887,0
888,1
889,1
890,0
891,0
892,1
893,0
894,1
895,0
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,1
915,1
916,0
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,0
927,1
928,0
929,1
930,1
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,1
939,1
940,0
941,0
942,0
943,1
944,1
945,1
946,1
947,0
948,0
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,1
958,1
959,1
960,0
961,1
962,1
963,1
964,0
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,0
973,1
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,0
982,1
983,0
984,1
985,1
986,0
987,1
988,0
989,1
990,1
991,1
992,0
993,0
994,1
995,0
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,1
1019,0
1020,1
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,0
1060,0
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,1
1072,1
1073,1
1074,0
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,1
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,1
1097,1
1098,1
1099,0
1100,1
1101,1
1102,0
1103,0
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,1
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,0
1121,1
1122,1
1123,0
1124,0
1125,1
1126,0
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,0
1135,1
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,0
1170,1
1171,1
1172,1
1173,0
1174,0
1175,0
1176,1
1177,1
1178,1
1179,0
1180,0
1181,1
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,1
1205,1
1206,0
1207,0
1208,0
1209,1
1210,0
1211,1
1212,1
1213,0
1214,0
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,0
1222,0
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
